,word,pos_count,neg_count,diff
0,people,28,63.0,35.0
1,know,13,36.0,23.0
2,family,25,7.0,18.0
3,one,29,47.0,18.0
4,feel,11,25.0,14.0
5,anyone,4,18.0,14.0
6,men,1,14.0,13.0
7,said,11,24.0,13.0
8,mum,14,1.0,13.0
9,home,22,10.0,12.0
10,think,41,53.0,12.0
11,got,10,22.0,12.0
12,even,15,26.0,11.0
13,though,8,19.0,11.0
14,come,6,17.0,11.0
15,night,3,13.0,10.0
16,place,14,4.0,10.0
17,never,11,21.0,10.0
18,believe,4,13.0,9.0
19,needs,2,11.0,9.0
20,back,10,19.0,9.0
21,point,2,11.0,9.0
22,child,9,17.0,8.0
23,much,28,20.0,8.0
24,anything,5,13.0,8.0
25,person,14,6.0,8.0
26,house,13,5.0,8.0
27,room,9,1.0,8.0
28,grin,12,4.0,8.0
29,telling,1,9.0,8.0
30,behaviour,2,9.0,7.0
31,little,5,12.0,7.0
32,put,9,16.0,7.0
33,away,5,12.0,7.0
34,last,3,10.0,7.0
35,going,12,19.0,7.0
36,understand,5,12.0,7.0
37,around,7,14.0,7.0
38,quote,5,12.0,7.0
39,spend,8,1.0,7.0
40,school,7,14.0,7.0
41,still,6,13.0,7.0
42,together,2,9.0,7.0
43,control,1,7.0,6.0
44,self,7,1.0,6.0
45,obviously,1,7.0,6.0
46,always,10,16.0,6.0
47,stuff,2,8.0,6.0
48,told,10,4.0,6.0
49,mother,2,8.0,6.0
50,use,1,7.0,6.0
51,tell,12,18.0,6.0
52,week,11,5.0,6.0
53,whether,4,10.0,6.0
54,lot,10,4.0,6.0
55,well,9,15.0,6.0
56,made,5,10.0,5.0
57,need,11,16.0,5.0
58,couple,6,1.0,5.0
59,ago,3,8.0,5.0
60,right,7,12.0,5.0
61,end,2,7.0,5.0
62,perhaps,1,6.0,5.0
63,lots,6,1.0,5.0
64,felt,3,8.0,5.0
65,advice,2,7.0,5.0
66,often,6,11.0,5.0
67,birthday,7,2.0,5.0
68,lived,7,2.0,5.0
69,thread,5,10.0,5.0
70,similar,7,2.0,5.0
71,say,14,19.0,5.0
72,mine,2,7.0,5.0
73,quite,3,8.0,5.0
74,unless,1,6.0,5.0
75,job,6,10.0,4.0
76,certainly,2,6.0,4.0
77,thought,6,2.0,4.0
78,daughter,2,6.0,4.0
79,give,11,15.0,4.0
80,try,4,8.0,4.0
81,anyway,2,6.0,4.0
82,second,2,6.0,4.0
83,local,5,1.0,4.0
84,young,8,4.0,4.0
85,become,1,5.0,4.0
86,weight,1,5.0,4.0
87,dad,9,5.0,4.0
88,used,5,9.0,4.0
89,left,5,9.0,4.0
90,stand,1,5.0,4.0
91,hand,1,5.0,4.0
92,went,5,9.0,4.0
93,five,5,1.0,4.0
94,sure,16,12.0,4.0
95,old,10,14.0,4.0
96,talking,1,5.0,4.0
97,else,10,6.0,4.0
98,special,1,5.0,4.0
99,full,7,3.0,4.0
100,baby,14,10.0,4.0
101,less,6,2.0,4.0
102,guess,5,1.0,4.0
103,something,12,16.0,4.0
104,wanting,5,1.0,4.0
105,may,14,10.0,4.0
106,age,3,7.0,4.0
107,course,4,8.0,4.0
108,man,1,5.0,4.0
109,dont,2,6.0,4.0
110,find,4,8.0,4.0
111,boy,1,4.0,3.0
112,exactly,2,5.0,3.0
113,saying,6,9.0,3.0
114,teacher,1,4.0,3.0
115,sometimes,4,7.0,3.0
116,level,4,1.0,3.0
117,nothing,5,8.0,3.0
118,time,28,25.0,3.0
119,done,6,9.0,3.0
120,although,4,7.0,3.0
121,whole,6,3.0,3.0
122,came,2,5.0,3.0
123,total,1,4.0,3.0
124,loud,1,4.0,3.0
125,make,18,21.0,3.0
126,side,1,4.0,3.0
127,start,8,5.0,3.0
128,rather,5,2.0,3.0
129,thing,20,17.0,3.0
130,per,5,2.0,3.0
131,incredibly,1,4.0,3.0
132,quickly,1,4.0,3.0
133,whatever,1,4.0,3.0
134,looking,2,5.0,3.0
135,bra,4,1.0,3.0
136,door,1,4.0,3.0
137,given,3,6.0,3.0
138,next,6,9.0,3.0
139,aware,4,1.0,3.0
140,seeing,2,5.0,3.0
141,totally,5,2.0,3.0
142,question,5,2.0,3.0
143,sort,1,4.0,3.0
144,disabled,5,2.0,3.0
145,see,20,17.0,3.0
146,meant,1,4.0,3.0
147,sleep,6,3.0,3.0
148,real,2,5.0,3.0
149,seem,2,5.0,3.0
150,fact,1,4.0,3.0
151,part,5,2.0,3.0
152,taking,2,5.0,3.0
153,way,22,19.0,3.0
154,two,8,5.0,3.0
155,times,6,3.0,3.0
156,hour,5,2.0,3.0
157,look,7,10.0,3.0
158,wedding,2,5.0,3.0
159,partner,2,5.0,3.0
160,head,1,4.0,3.0
161,body,1,4.0,3.0
162,turned,1,3.0,2.0
163,washing,1,3.0,2.0
164,create,1,3.0,2.0
165,close,4,2.0,2.0
166,price,3,1.0,2.0
167,idea,4,2.0,2.0
168,health,3,1.0,2.0
169,different,8,10.0,2.0
170,watch,4,2.0,2.0
171,met,3,1.0,2.0
172,change,3,5.0,2.0
173,group,2,4.0,2.0
174,grow,1,3.0,2.0
175,book,3,1.0,2.0
176,evening,1,3.0,2.0
177,read,5,3.0,2.0
178,worked,5,3.0,2.0
179,discussion,1,3.0,2.0
180,education,2,4.0,2.0
181,bill,3,1.0,2.0
182,knew,3,1.0,2.0
183,goes,1,3.0,2.0
184,area,1,3.0,2.0
185,front,1,3.0,2.0
186,gone,6,4.0,2.0
187,past,4,2.0,2.0
188,eating,4,2.0,2.0
189,tried,5,3.0,2.0
190,large,1,3.0,2.0
191,phone,1,3.0,2.0
192,reason,2,4.0,2.0
193,living,3,1.0,2.0
194,forward,2,4.0,2.0
195,teens,4,2.0,2.0
196,must,3,5.0,2.0
197,cover,3,1.0,2.0
198,without,7,9.0,2.0
199,live,10,8.0,2.0
200,remember,2,4.0,2.0
201,chat,3,1.0,2.0
202,dress,3,1.0,2.0
203,wear,4,2.0,2.0
204,fairly,3,1.0,2.0
205,absolutely,3,5.0,2.0
206,keep,5,7.0,2.0
207,society,1,3.0,2.0
208,restaurant,1,3.0,2.0
209,send,2,4.0,2.0
210,everything,4,6.0,2.0
211,morning,6,4.0,2.0
212,pregnancy,1,3.0,2.0
213,playground,3,1.0,2.0
214,giving,3,1.0,2.0
215,judge,3,1.0,2.0
216,considered,3,1.0,2.0
217,city,3,1.0,2.0
218,pregnant,1,3.0,2.0
219,currently,3,1.0,2.0
220,actually,8,6.0,2.0
221,sister,3,1.0,2.0
222,shopping,3,1.0,2.0
223,mate,1,3.0,2.0
224,many,9,11.0,2.0
225,definitely,5,3.0,2.0
226,decided,2,4.0,2.0
227,depression,1,3.0,2.0
228,based,2,4.0,2.0
229,decision,3,1.0,2.0
230,adult,4,2.0,2.0
231,would,43,41.0,2.0
232,working,4,2.0,2.0
233,could,12,14.0,2.0
234,game,1,3.0,2.0
235,talk,2,4.0,2.0
236,let,14,12.0,2.0
237,choice,2,4.0,2.0
238,experience,5,3.0,2.0
239,enough,2,4.0,2.0
240,consider,1,3.0,2.0
241,driver,1,3.0,2.0
242,running,3,1.0,2.0
243,round,6,4.0,2.0
244,able,5,7.0,2.0
245,shut,4,2.0,2.0
246,day,17,15.0,2.0
247,might,8,10.0,2.0
248,bit,9,11.0,2.0
249,call,2,4.0,2.0
250,known,1,3.0,2.0
251,saw,2,4.0,2.0
252,far,6,4.0,2.0
253,new,8,6.0,2.0
254,turn,1,3.0,2.0
255,days,8,6.0,2.0
256,watching,3,1.0,2.0
257,teeth,3,1.0,2.0
258,hair,3,2.0,1.0
259,clothes,1,2.0,1.0
260,ever,8,9.0,1.0
261,daily,1,2.0,1.0
262,toilet,1,2.0,1.0
263,strongly,2,1.0,1.0
264,long,7,6.0,1.0
265,sensible,1,2.0,1.0
266,milk,1,2.0,1.0
267,glass,1,2.0,1.0
268,recently,3,2.0,1.0
269,step,2,1.0,1.0
270,instead,2,1.0,1.0
271,kept,1,2.0,1.0
272,basically,3,2.0,1.0
273,buy,3,2.0,1.0
274,marriage,2,1.0,1.0
275,expect,2,1.0,1.0
276,news,1,2.0,1.0
