,forum,word,freq,raw_score,colour
0,_chat,abuse,1.0,-3,"(1, 0, 0, 0.6000000000000001)"
1,_chat,negative,1.0,-2,"(1, 0, 0, 0.4)"
2,_chat,nervous,1.0,-2,"(1, 0, 0, 0.4)"
3,_chat,nice,5.0,3,"(0, 0, 1, 0.6000000000000001)"
4,_chat,nonsense,2.0,-2,"(1, 0, 0, 0.4)"
5,_chat,novel,1.0,2,"(0, 0, 1, 0.4)"
6,_chat,odd,2.0,-2,"(1, 0, 0, 0.4)"
7,_chat,pain,8.0,-2,"(1, 0, 0, 0.4)"
8,_chat,painful,1.0,-2,"(1, 0, 0, 0.4)"
9,_chat,pay,5.0,-1,"(1, 0, 0, 0.2)"
10,_chat,peace,1.0,2,"(0, 0, 1, 0.4)"
11,_chat,peaceful,1.0,2,"(0, 0, 1, 0.4)"
12,_chat,perfect,2.0,3,"(0, 0, 1, 0.6000000000000001)"
13,_chat,please,1.0,1,"(0, 0, 1, 0.2)"
14,_chat,pleasure,1.0,3,"(0, 0, 1, 0.6000000000000001)"
15,_chat,polite,1.0,2,"(0, 0, 1, 0.4)"
16,_chat,politeness,1.0,2,"(0, 0, 1, 0.4)"
17,_chat,poor,2.0,-2,"(1, 0, 0, 0.4)"
18,_chat,reward,1.0,2,"(0, 0, 1, 0.4)"
19,_chat,restrictive,1.0,-1,"(1, 0, 0, 0.2)"
20,_chat,relieve,1.0,1,"(0, 0, 1, 0.2)"
21,_chat,relaxed,1.0,2,"(0, 0, 1, 0.4)"
22,_chat,regret,2.0,-2,"(1, 0, 0, 0.4)"
23,_chat,recommend,1.0,2,"(0, 0, 1, 0.4)"
24,_chat,natural,1.0,1,"(0, 0, 1, 0.2)"
25,_chat,reassure,1.0,1,"(0, 0, 1, 0.2)"
26,_chat,progress,1.0,2,"(0, 0, 1, 0.4)"
27,_chat,profit,1.0,2,"(0, 0, 1, 0.4)"
28,_chat,problem,4.0,-2,"(1, 0, 0, 0.4)"
29,_chat,prison,1.0,-2,"(1, 0, 0, 0.4)"
30,_chat,pretty,4.0,1,"(0, 0, 1, 0.2)"
31,_chat,prepared,1.0,1,"(0, 0, 1, 0.2)"
32,_chat,quality,1.0,2,"(0, 0, 1, 0.4)"
33,_chat,ridiculous,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
34,_chat,nasty,2.0,-3,"(1, 0, 0, 0.6000000000000001)"
35,_chat,miss,2.0,-2,"(1, 0, 0, 0.4)"
36,_chat,huge,4.0,1,"(0, 0, 1, 0.2)"
37,_chat,hurt,2.0,-2,"(1, 0, 0, 0.4)"
38,_chat,hurting,1.0,-2,"(1, 0, 0, 0.4)"
39,_chat,ignore,2.0,-1,"(1, 0, 0, 0.2)"
40,_chat,ill,1.0,-2,"(1, 0, 0, 0.4)"
41,_chat,important,3.0,2,"(0, 0, 1, 0.4)"
42,_chat,ineffective,1.0,-2,"(1, 0, 0, 0.4)"
43,_chat,intelligent,1.0,2,"(0, 0, 1, 0.4)"
44,_chat,interesting,1.0,2,"(0, 0, 1, 0.4)"
