,raw_message,posttime,threadid,name,topic_url
0,"Hi Lou, just another one popping along to give you some support.

You need to do everything you can to show him you're calling the shots now.

Sounds like he's been manipulating you for ages with his moods and tantrums. Time to say ""no more, I'm the one in control now"".

I think that will soon shock him out of any ""emotional crisis"" he might think he's having.

Think about that old no nonsense headmistress when you were small who everyone was in awe of... ""you have behaved in an unacceptable way. I will not tolerate it. What are you going to do about it...""  

at some point in the future you might soften toward him but this is not the time!

Good luck!",2012-08-03 13:39:32+00:00,1531140,please please help,relationships
1,People are allowed to change jobs! Doesn’t mean it’s anything to do with TRAs or anything sinister. Perhaps she just wants to move on and is excited about her new programme.,2020-09-05 16:47:40+00:00,4014294,Jane Garvey quits Woman's Hour,womens_rights
2,"Befnalbub - now that is wierd. My birthday is June 6th - I live in Whitechapel near the hospital, so we are practically neighbours!! 
 
12DOC - It really isn't your day, is it! 
 
If it's any consolation I'm off to the dentists in 1/2 an hour to see what damage my ms/toothbrushing fandango has had on my back tegs. Dreading getting a telling off for not brushing properly!",2006-11-28 15:32:50+00:00,245747,Due May 07 - Thread for w/c 27/11/06,birth_clubs
3,"I found a solidified egg in one of my window boxes last year when I was putting in some new plants.  No idea how it got there. There isn't room for a fox on the window ledge and whilst it could conceivably have been a squirrel, the soil was undisturbed.  

I left it to put in the bin later, then forgot about it.  When I was next in the garden again, it had gone.",2021-02-28 19:07:04+00:00,4179271,Why would someone hid raw chicken in my potato patch?,_chat
4,"Hi OP, we took DD2 to hospital the other night on the advice of 111. She was high temp, very sleepy, not drinking, and eventually just as we were going to A&E had a rash that was not fading under a glass. The hospital gave her a large dose if calpol and Brufen based on her weight that brought the temp right down, which made her feel well enough to start drinking water. The rash was viral. They didn't mind seeing her at all. 
I think a moderate fever on its own doesn't give them much to worry about, but when it has accompanying symptoms then a doctor visit is necessary. Always phone 111 if your concerned.",2017-01-02 21:47:00+00:00,2817620,Concerned Mum!,am_i_being_unreasonable
5,"Ps anything where the estate agent openly states ""would benefit being completed modernised"" is usually a complete wreck/moneypit imho.",2019-07-22 05:47:38+00:00,3644498,To think you can refurb a central London flat for £100k?,am_i_being_unreasonable
6,Sorry I misread the Op I thought it said £300k not 330k ,2019-12-21 12:58:58+00:00,3774021,Is this offer offensive ,am_i_being_unreasonable
7,are you rhiannon?,2009-05-11 22:19:23+00:00,754281,Can you help answer this question about my &#39;well worn trainers&#39; .. ahem!,ebay
8,"FGS she said he looked like a rat, she didn't drive a JCB through the OP's front garden. She didn't even call him a rat.",2009-04-03 16:03:35+00:00,732668,To be upset by my neighbour?,am_i_being_unreasonable
9,I can't edit the title - sorry *Rowan*.,2018-06-19 12:23:39+00:00,3281582,3 strikes and you're out,womens_rights
10,"Weeonion 
 
I'm posting as I go along as I'll forgot what tosay otherwise... 
Poor poor you - what a worry. If I was in your shoes honey I would ring first thing monday and ask to speak to your consultant. I would want a plan of action - i.e any plan for regular monitoring to see if growth increases etc. I know every case is different and comparisons are not always helpful but I do know that a friend was told her baby was small for dates - had a really stressful pregnancy as she was continualy being monitored etc and when the baby (who ended up being born at 35 weeks) was born he was over 51b inw eight and if had gone to term would have likely been a 8 pounder!! He was also the length her other son was at term. 
I think that the way you have been treated is unacceptable - especially the lost notes which I think is inexcusable. 
Your going to be worried sick over it until something is sorted out - our Midwife Unit has a Midwife Manager person that you can raise concerns to - maybe ask to speak to the equivalent up there? 
Hope that helps - thinking of you - you need to do what is going to make you relax....maybe even a private scan would be worth the money if it reassured you? 
*hugs* 
xxx",2007-01-27 08:01:29+00:00,267497,Due in April 2007 - BigOnion to the rescue,birth_clubs
11,"I watched it, and I did like the design aspects and will continue watching for that. I like how the designers gave little snippets of why they chose to do something.

But it was a ridiculous garden for two obviously non-gardeners. All that planting seems quite high maintenance for a couple who just want to sit down. At no point did 'pottering around doing gardening' come into their lifestyle. For me, that's a fundamental design flaw. Unless they had told the designer they were planning on paying a gardener!

But the £1500 one was much much better: more impact, better design for the clients lifestyle and he was so chuffed with it.",2021-02-09 09:35:49+00:00,4156533,Your Garden Made Perfect,telly_addicts
12,"None of us have children.

Maybe some CBT would help me. Anyone got experience of it? Did it work?",2012-05-27 10:44:11+00:00,1481740,How can I stop thinking about this man?,relationships
13,"Hi *Jas* 

Ds is sitting quietly with a cup of milk so I'll say another quick hello before I go and get the packed lunches made 

I've been working ^loads^ lately and also been taking a bit of a MN break (didn't last long - too addicted )

Haven't lurked so have no idea what everyone has been up to - hope you're all OK?

Big events for me over the past week are
~managed to get through my 40min dentist appt (slight panic before hand but fine once in the chair - broken tooth is finally whole again!)
~finally reached my 3 stone weight loss target am now 11st 5 
~dd has been lovely since our awful time with the community police etc 
~dh and I are struggling 

I have a day out planned today with a good friend so need to get my act together as I need to leave the house in good time 

I will try to come back on sometime before the day is out.",2008-05-15 06:57:47+00:00,530731,Thursday FLY,housekeeping
14,"Great little trading company have further reductions. 

These are great, they are large books which also fold into playmates and 3D vehicles which can be sat and played in. We had a space rocket one which was much loved! 
https://www.gltc.co.uk/product/convertible-tractor-book/1000372

 ",2017-07-24 22:14:26+00:00,2827333,Christmas Bargain Prequel Thread,Christmas
15,"*rhubarb* have fun at the garden centre, I might take dd2 after school. 

I forgot I do have Hollyhocks currently in pots grown from seed, I love them although I'm not entirely sure where to plant them or when for that matter!

If anyone is fancying the edible garden show, the Facebook page friendly gardeners has a code for buy one ticket get one free! 

It's a full on thunder storm here and I'm glad, everything was soo dry. 

I loved that link *funny* especially ferns and foxgloves. I have lots of both but not together but will try a move around! :)",2014-09-18 10:21:14+00:00,2148250,"Tickle the earth with a hoe, and she will laugh with a harvest",gardening
16,I can see why that didn't go down too well TBH.,2018-01-27 13:45:48+00:00,3151038,AIBU Trollhunting is ruining AIBU,am_i_being_unreasonable
17,Have you contacted the dad? Ask for his details and so that first. Say you need the deposit back my x date.,2021-07-16 19:43:40+00:00,4298147,Is this theft?,legal_matters
18,"Run for the hills or a divorce lawyer straight away. Do not listen to him.
Its your life, live it how you want, not how your manipulative husband tells you.",2018-03-03 22:48:10+00:00,3184094,Being manipulated out of divorcing DH?,relationships
19,"They are buggers I'm afraid. Dd2 was so bad we had to have specified car free days of dd1 and I couldn't hear ourselves think! We used to go out somewhere on the bus. 

",2018-11-19 22:15:51+00:00,3426789,Car seat hater,car_seats_chat
20,Message withdrawn at poster's request.,2014-11-10 20:46:14+00:00,2230759,The Pregvember bus- With Frolic dog as our mascot and ov dance lessons we can all get our BFPs (Thread 3),conception
